"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5347",1971-08-22,19.335,19.419,19.954,19.315,18.915,19.72,20.339,19.998,18.64,18.679
"5348",1971-08-23,17.735,17.819,18.354,17.715,17.315,18.12,18.739,18.398,17.04,17.079
"5349",1971-08-24,13.735,13.819,14.354,13.715,13.315,14.12,14.739,14.398,13.04,13.079
"5350",1971-08-25,12.835,12.919,13.454,12.815,12.415,13.22,13.839,13.498,12.14,12.179
"5351",1971-08-26,13.135,13.219,13.754,13.115,12.715,13.52,14.139,13.798,12.44,12.479
"5352",1971-08-27,13.935,14.019,14.554,13.915,13.515,14.32,14.939,14.598,13.24,13.279
"5353",1971-08-28,12.935,13.019,13.554,12.915,12.515,13.32,13.939,13.598,12.24,12.279
"5354",1971-08-29,10.935,11.019,11.554,10.915,10.515,11.32,11.939,11.598,10.24,10.279
"5355",1971-08-30,11.335,11.419,11.954,11.315,10.915,11.72,12.339,11.998,10.64,10.679
"5356",1971-08-31,10.735,10.819,11.354,10.715,10.315,11.12,11.739,11.398,10.04,10.079
"5357",1971-09-01,11.597,11.751,12.249,11.863,11.671,12.231,12.942,12.667,11.082,11.148
"5358",1971-09-02,11.897,12.051,12.549,12.163,11.971,12.531,13.242,12.967,11.382,11.448
"5359",1971-09-03,12.597,12.751,13.249,12.863,12.671,13.231,13.942,13.667,12.082,12.148
"5360",1971-09-04,11.797,11.951,12.449,12.063,11.871,12.431,13.142,12.867,11.282,11.348
"5361",1971-09-05,10.797,10.951,11.449,11.063,10.871,11.431,12.142,11.867,10.282,10.348
"5362",1971-09-06,11.097,11.251,11.749,11.363,11.171,11.731,12.442,12.167,10.582,10.648
"5363",1971-09-07,11.897,12.051,12.549,12.163,11.971,12.531,13.242,12.967,11.382,11.448
"5364",1971-09-08,14.797,14.951,15.449,15.063,14.871,15.431,16.142,15.867,14.282,14.348
"5365",1971-09-09,15.497,15.651,16.149,15.763,15.571,16.131,16.842,16.567,14.982,15.048
"5366",1971-09-10,15.197,15.351,15.849,15.463,15.271,15.831,16.542,16.267,14.682,14.748
